"The Lion, the Witch and the Wardrobe",
"She: A History of Adventure",
"Le avventure di Pinocchio. Storia di un burattino (The Adventures of Pinocchio)",
"Vardi Wala Gunda",
"The Da Vinci Code",
"Harry Potter and the Chamber of Secrets",
"Harry Potter and the Prisoner of Azkaban",
"Harry Potter and the Goblet of Fire",
"Harry Potter and the Order of the Phoenix",
"Harry Potter and the Half-Blood Prince",
"Harry Potter and the Deathly Hallows",
"The Alchemist",
"The Catcher in the Rye",
"Think and Grow Rich",
"The Bridges of Madison County",
"The Adventures of Sherlock Holmes",
"20,000 Leagues under the Sea",
"You Can Heal Your Life",
"Cien años de soledad (One Hundred Years of Solitude)",
"Lolita",
"Heidis Lehr- und Wanderjahre (Heidi's Years of Learning and Travel)",
"The Common Sense Book of Baby and Child Care",
"Anne of Green Gables",
"Black Beauty",
"Il Nome della Rosa (The Name of the Rose)",
"The Eagle Has Landed",
"Watership Down",
"The Hite Report",
"Charlotte's Web",
"The Ginger Man"
